document_id,parser,chunker,query_id,question_type,n_evidence,n_present_in_corpus,coverage,n_chunks
D1,normal,basic,D1-Q001,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q002,temporal,1,1,1.0,126
D1,normal,basic,D1-Q003,list_membership,11,11,1.0,126
D1,normal,basic,D1-Q004,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q005,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q006,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q007,paraphrase,1,1,1.0,126
D1,normal,basic,D1-Q008,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q009,list_membership,1,1,1.0,126
D1,normal,basic,D1-Q010,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q011,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q012,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q013,list_membership,3,2,0.6666666666666666,126
D1,normal,basic,D1-Q014,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q015,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q016,list_membership,3,3,1.0,126
D1,normal,basic,D1-Q017,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q018,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q019,conditional_exception,1,1,1.0,126
D1,normal,basic,D1-Q020,procedural,1,1,1.0,126
D1,normal,basic,D1-Q021,conditional_exception,1,1,1.0,126
D1,normal,basic,D1-Q022,numerical,1,1,1.0,126
D1,normal,basic,D1-Q023,negation,1,1,1.0,126
D1,normal,basic,D1-Q024,conditional_exception,1,1,1.0,126
D1,normal,basic,D1-Q025,negation,1,1,1.0,126
D1,normal,basic,D1-Q026,paraphrase,1,1,1.0,126
D1,normal,basic,D1-Q027,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q028,conditional_exception,1,1,1.0,126
D1,normal,basic,D1-Q029,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q030,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q031,negation,1,1,1.0,126
D1,normal,basic,D1-Q032,temporal,1,1,1.0,126
D1,normal,basic,D1-Q033,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q034,negation,1,1,1.0,126
D1,normal,basic,D1-Q035,numerical,1,1,1.0,126
D1,normal,basic,D1-Q036,conditional_exception,1,1,1.0,126
D1,normal,basic,D1-Q037,conditional_exception,1,1,1.0,126
D1,normal,basic,D1-Q038,negation,1,1,1.0,126
D1,normal,basic,D1-Q039,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q040,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q041,negation,1,1,1.0,126
D1,normal,basic,D1-Q042,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q043,list_membership,1,1,1.0,126
D1,normal,basic,D1-Q044,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q045,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q046,procedural,1,1,1.0,126
D1,normal,basic,D1-Q047,numerical,1,1,1.0,126
D1,normal,basic,D1-Q048,negation,1,1,1.0,126
D1,normal,basic,D1-Q049,procedural,1,1,1.0,126
D1,normal,basic,D1-Q050,procedural,1,1,1.0,126
D1,normal,basic,D1-Q051,list_membership,3,3,1.0,126
D1,normal,basic,D1-Q052,negation,1,1,1.0,126
D1,normal,basic,D1-Q053,numerical,1,1,1.0,126
D1,normal,basic,D1-Q054,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q055,conditional_exception,1,1,1.0,126
D1,normal,basic,D1-Q056,procedural,1,1,1.0,126
D1,normal,basic,D1-Q057,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q058,negation,1,1,1.0,126
D1,normal,basic,D1-Q059,procedural,1,1,1.0,126
D1,normal,basic,D1-Q060,negation,1,1,1.0,126
D1,normal,basic,D1-Q061,procedural,1,1,1.0,126
D1,normal,basic,D1-Q062,numerical,1,1,1.0,126
D1,normal,basic,D1-Q063,numerical,1,1,1.0,126
D1,normal,basic,D1-Q064,numerical,1,1,1.0,126
D1,normal,basic,D1-Q065,numerical,1,1,1.0,126
D1,normal,basic,D1-Q066,list_membership,1,1,1.0,126
D1,normal,basic,D1-Q067,numerical,1,1,1.0,126
D1,normal,basic,D1-Q068,numerical,1,1,1.0,126
D1,normal,basic,D1-Q069,numerical,1,1,1.0,126
D1,normal,basic,D1-Q070,numerical,1,1,1.0,126
D1,normal,basic,D1-Q071,numerical,1,1,1.0,126
D1,normal,basic,D1-Q072,numerical,1,1,1.0,126
D1,normal,basic,D1-Q073,numerical,1,1,1.0,126
D1,normal,basic,D1-Q074,numerical,1,1,1.0,126
D1,normal,basic,D1-Q075,numerical,1,1,1.0,126
D1,normal,basic,D1-Q076,numerical,1,1,1.0,126
D1,normal,basic,D1-Q077,numerical,1,1,1.0,126
D1,normal,basic,D1-Q078,conditional_exception,1,1,1.0,126
D1,normal,basic,D1-Q079,conditional_exception,3,3,1.0,126
D1,normal,basic,D1-Q080,numerical,2,2,1.0,126
D1,normal,basic,D1-Q081,numerical,1,1,1.0,126
D1,normal,basic,D1-Q082,procedural,1,1,1.0,126
D1,normal,basic,D1-Q083,numerical,2,2,1.0,126
D1,normal,basic,D1-Q084,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q085,numerical,1,1,1.0,126
D1,normal,basic,D1-Q086,negation,1,1,1.0,126
D1,normal,basic,D1-Q087,numerical,1,1,1.0,126
D1,normal,basic,D1-Q088,numerical,1,1,1.0,126
D1,normal,basic,D1-Q089,numerical,1,1,1.0,126
D1,normal,basic,D1-Q090,numerical,1,1,1.0,126
D1,normal,basic,D1-Q091,numerical,1,1,1.0,126
D1,normal,basic,D1-Q092,procedural,1,0,0.0,126
D1,normal,basic,D1-Q093,numerical,1,1,1.0,126
D1,normal,basic,D1-Q094,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q095,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q096,negation,1,1,1.0,126
D1,normal,basic,D1-Q097,exact_fact,1,1,1.0,126
D1,normal,basic,D1-Q098,numerical,1,1,1.0,126
